,predicted_mean
2017-12-30,1159.8229177416663
2017-12-31,113.97713126997814
2018-01-01,2895.9625486601985
2018-01-02,1040.653260900152
2018-01-03,3044.0001684390472
2018-01-04,911.5593101777426
2018-01-05,1383.9810014214463
2018-01-06,660.6807037173159
2018-01-07,2287.972175385473
2018-01-08,180.1709670610595
2018-01-09,374.1202291392412
2018-01-10,1438.297798414519
2018-01-11,894.8083549829985
2018-01-12,125.19603214079996
2018-01-13,2611.268133002425
2018-01-14,507.3438153964278
2018-01-15,3607.665305163705
2018-01-16,588.0133721272139
2018-01-17,1399.5046851899872
2018-01-18,762.3094385116086
2018-01-19,2547.8639734549097
2018-01-20,273.24157989392756
2018-01-21,478.5950392689333
2018-01-22,1922.345026399263
2018-01-23,601.9202138509909
2018-01-24,129.71812596277078
2018-01-25,2772.819590010666
2018-01-26,800.8253263584004
2018-01-27,3319.0262745440295
2018-01-28,770.1817783546427
2018-01-29,1401.7424028810901
2018-01-30,718.8546490580098
2018-01-31,2420.4253054332685
2018-02-01,234.32824351664905
2018-02-02,433.6299514524867
2018-02-03,1675.9560359410716
2018-02-04,767.8197532924114
2018-02-05,137.7939474729668
2018-02-06,2697.5662082529766
2018-02-07,655.5619409938514
2018-02-08,3482.6709809631075
2018-02-09,683.9878061405587
2018-02-10,1411.0304514492511
2018-02-11,752.3898838747937
2018-02-12,2498.5274259994417
2018-02-13,265.4535108034788
2018-02-14,467.96664121195914
2018-02-15,1817.1803356715197
2018-02-16,690.2590180719797
2018-02-17,143.9839478164576
2018-02-18,2747.9756843452406
2018-02-19,743.1229262240666
2018-02-20,3406.3067954544067
2018-02-21,740.2030160619161
2018-02-22,1416.5771713713577
2018-02-23,745.0695917261135
2018-02-24,2467.557269861806
2018-02-25,259.4120920457219
2018-02-26,460.22104897624905
2018-02-27,1752.7137633760199
2018-02-28,741.8929143733453
2018-03-01,151.1746780370781
2018-03-02,2731.700907170929
2018-03-03,707.1333288795122
2018-03-04,3457.305730675081
2018-03-05,720.8473681221166
2018-03-06,1424.1092647861228
2018-03-07,759.4296938810343
2018-03-08,2494.4674090518756
2018-03-09,273.0935472356179
2018-03-10,474.8068408791433
2018-03-11,1797.3991110629447
2018-03-12,724.9683863599596
2018-03-13,157.83436093218202
2018-03-14,2750.812796429354
2018-03-15,736.7070847851785
2018-03-16,3440.718151114434
2018-03-17,741.5941522884125
2018-03-18,1430.5877998855794
2018-03-19,762.284877801588
2018-03-20,2490.6627902075106
2018-03-21,276.3088619606794
2018-03-22,477.5422602760257
2018-03-23,1784.1618999192235
2018-03-24,744.425072404438
2018-03-25,164.77584940577668
2018-03-26,2751.1463969632136
2018-03-27,731.488991070776
2018-03-28,3459.9960320899795
2018-03-29,741.0601794758913
2018-03-30,1437.6254162500272
2018-03-31,771.245261734924
2018-04-01,2503.1572651354313
2018-04-02,285.07813887808544
2018-04-03,486.5661984525605
2018-04-04,1801.6618743607844
2018-04-05,744.5757030727381
2018-04-06,171.56779492857862
2018-04-07,2761.4448843590058
2018-04-08,744.7335405858282
2018-04-09,3460.2415474577533
2018-04-10,751.8190533514062
2018-04-11,1444.3663505454133
2018-04-12,776.965860175068
2018-04-13,2507.002462816893
2018-04-14,290.9001501690063
2018-04-15,492.2530711974425
2018-04-16,1802.8508536257284
2018-04-17,754.9712852590196
2018-04-18,178.4390969149823
2018-04-19,2766.4554048038376
2018-04-20,748.180703680198
2018-04-21,3470.586778128567
2018-04-22,756.5852651028058
2018-04-23,1451.2647221502123
2018-04-24,784.4056832139031
2018-04-25,2515.4374860390444
2018-04-26,298.28615746354467
2018-04-27,499.71079111402634
2018-04-28,1812.6954257364616
2018-04-29,759.9302813814659
2018-04-30,185.26828759970445
2018-05-01,2774.2720378379936
2018-05-02,756.8269479398831
2018-05-03,3475.5724937866603
2018-05-04,764.5315429903955
2018-05-05,1458.0795480709949
2018-05-06,790.9331825118746
2018-05-07,2521.4368723988678
2018-05-08,304.84221462486425
2018-05-09,506.2287932546923
2018-05-10,1817.9468208705084
2018-05-11,767.7742563129977
2018-05-12,192.11982506815164
2018-05-13,2780.5995791404903
2018-05-14,762.7142477420468
2018-05-15,3483.4022897291675
2018-05-16,770.790286953813
2018-05-17,1464.9387083452018
2018-05-18,797.9448155343032
2018-05-19,2528.7287538377605
2018-05-20,311.83869313127417
2018-05-21,513.2454660387014
2018-05-22,1825.635631339938
2018-05-23,774.0872883639887
2018-05-24,198.95950399214766
2018-05-25,2787.7173218745797
2018-05-26,770.0656090346264
2018-05-27,3489.7228460026004
2018-05-28,777.9445376844708
2018-05-29,1471.7743421510254
2018-05-30,804.6995381501966
